start,end,n_points,peak_score
2009-10-13 06:39:30,2009-10-15 02:27:00,5256,0.19438045
2010-04-28 06:00:30,2010-04-29 18:19:30,4359,0.21062101
2011-01-27 03:53:00,2011-01-27 19:12:00,1839,0.1957769
2011-01-28 22:29:30,2011-01-29 13:47:00,1836,0.20830935
2012-04-20 22:09:30,2012-04-21 10:29:00,1480,0.201911
2011-10-08 07:09:00,2011-10-08 17:33:30,1250,0.20615947
2007-08-14 22:15:00,2007-08-15 05:56:30,924,0.1735849
2007-01-12 15:42:00,2007-01-12 22:47:30,852,0.16529946
2008-12-26 21:13:30,2008-12-27 03:19:00,732,0.18151256
2008-02-21 11:37:30,2008-02-21 17:28:00,702,0.20320071
2011-08-16 14:53:00,2011-08-16 20:25:30,666,0.20432712
2013-11-23 06:52:30,2013-11-23 11:20:30,537,0.1973425
2007-10-26 12:21:00,2007-10-26 16:32:00,503,0.10479434
2008-06-10 16:20:30,2008-06-10 19:44:00,408,0.06336854
2009-03-08 10:33:00,2009-03-08 13:53:00,401,0.03885238
2008-10-15 20:24:00,2008-10-15 23:38:00,389,0.052777342
2010-03-07 11:29:30,2010-03-07 14:33:30,369,0.1710885
2010-07-31 08:42:30,2010-07-31 11:30:00,336,0.18611293
2007-12-24 02:30:30,2007-12-24 05:17:30,335,0.092508435
2009-09-21 09:17:00,2009-09-21 12:03:00,333,0.13886094
2007-07-30 04:28:00,2007-07-30 06:51:30,288,0.17744745
2011-09-17 16:06:30,2011-09-17 18:25:30,279,0.16827406
2011-04-13 03:12:30,2011-04-13 05:30:00,276,0.20081282
2011-08-14 19:13:00,2011-08-14 20:46:00,187,0.18199421
2008-06-07 15:36:00,2008-06-07 16:44:00,137,0.032091927
2008-03-14 00:31:30,2008-03-14 01:35:30,129,0.14775895
2009-09-20 14:33:30,2009-09-20 14:50:00,34,0.12271327
2012-12-18 06:32:30,2012-12-18 06:48:00,32,0.115924105
2012-12-19 05:47:30,2012-12-19 06:02:00,30,0.1565422
2012-12-18 11:50:30,2012-12-18 12:03:30,27,0.1027274
2012-12-19 00:28:30,2012-12-19 00:39:30,23,0.10944935
2008-05-25 19:32:00,2008-05-25 19:36:00,9,0.08457763
2013-12-04 16:33:00,2013-12-04 16:34:00,3,0.06086174
2013-12-04 16:40:30,2013-12-04 16:41:30,3,0.05761075
