start,end,n_points,peak_score
2002-12-19 07:32:30,2002-12-19 07:33:30,3,59.787464
2003-01-02 22:26:30,2003-01-02 22:27:30,3,44.92317
2002-11-30 00:11:30,2002-11-30 00:12:30,3,36.20365
2002-12-18 00:56:30,2002-12-18 00:57:30,3,42.14936
2003-01-05 18:11:30,2003-01-05 18:12:30,3,38.855614
2003-01-26 18:11:30,2003-01-26 18:12:30,3,40.16223
2003-02-16 18:11:30,2003-02-16 18:12:30,3,37.620487
2003-02-02 10:46:30,2003-02-02 10:47:30,3,7.466972
2003-02-12 20:35:00,2003-02-12 20:35:30,2,29.183954
2002-10-27 04:50:30,2002-10-27 04:51:00,2,9.0298605
2003-02-03 15:06:30,2003-02-03 15:07:00,2,20.179243
2002-10-21 00:50:30,2002-10-21 00:51:00,2,9.353843
2003-04-04 11:00:30,2003-04-04 11:01:00,2,23.285257
2003-02-02 10:49:30,2003-02-02 10:50:00,2,22.973372
2002-10-02 03:12:30,2002-10-02 03:12:30,1,4.0395236
2002-10-05 09:28:30,2002-10-05 09:28:30,1,5.8339334
2002-10-10 20:08:30,2002-10-10 20:08:30,1,3.8382158
2002-11-03 18:32:30,2002-11-03 18:32:30,1,3.96064
2003-04-09 03:12:30,2003-04-09 03:12:30,1,5.9664946
2003-05-21 03:12:30,2003-05-21 03:12:30,1,4.434512
