mission,n_points,has_ground_truth,raw_pred_rate_pct,adjusted_pred_rate_pct,gt_rate_pct,precision,recall,f1,tp,fp,fn,tn,tp_rate_pct,fp_rate_pct,fn_rate_pct
ESA-Mission1,7364160,True,10.82735844957198,10.82735844957198,11.098197214617825,0.9937053517678693,0.9694551131851769,0.9814304550941298,792325,5019,24964,6541852,10.759204036848738,0.06815441272324338,0.33899317776908705
ESA-Mission2,786240,True,1.8547771672771673,1.8547771672771673,4.188161375661376,0.9971199341699238,0.4415864435603875,0.6120979962956727,14541,42,18388,753269,1.849435286935287,0.005341880341880342,2.3387260887260886
STPSat4-ADCS,43584,False,0.5919603524229075,0.5919603524229075,0.0,0.0,0.0,0.0,0,258,0,43326,0.0,0.5919603524229075,0.0
STPSat4-HRR,43680,False,0.034340659340659344,0.034340659340659344,0.0,0.0,0.0,0.0,0,15,0,43665,0.0,0.034340659340659344,0.0
STPSat4-MRR,43680,False,0.05723443223443224,0.05723443223443224,0.0,0.0,0.0,0.0,0,25,0,43655,0.0,0.05723443223443223,0.0
STPSat4-PCE1,43200,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,43200,0.0,0.0,0.0
STPSat4-PCE2,43200,False,0.49768518518518523,0.49768518518518523,0.0,0.0,0.0,0.0,0,215,0,42985,0.0,0.4976851851851852,0.0
STPSat4-TCS,43680,False,0.2541208791208791,0.2541208791208791,0.0,0.0,0.0,0.0,0,111,0,43569,0.0,0.2541208791208791,0.0
STPSat7-ADCS,7968,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7968,0.0,0.0,0.0
STPSat7-EPS,12384,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,12384,0.0,0.0,0.0
STPSat7-HRR,7968,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7968,0.0,0.0,0.0
STPSat7-MRR,7968,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7968,0.0,0.0,0.0
STPSat7-TC,7968,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7968,0.0,0.0,0.0
STPSat7-TO,7968,False,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7968,0.0,0.0,0.0
